Country Name,Country Code,Indicator Name,Indicator Code,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Benin,BEN,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,511.5524303,583.6693724,589.9517746,615.4733493,710.207977,732.3976933,693.7132265,579.8974262,527.3380323,527.2583626,522.4256249,478.6337185,446.0000414,470.2934233,494.7942622,471.2486257,510.5563385,493.8996239,493.7573299,591.211698,592.6056151,580.6567496,555.4464584,585.9508138,574.2945496,554.6077989,622.9123482,606.6549823
Burkina Faso,BFA,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,511.5524303,583.6693724,589.9517746,615.4733493,710.207977,732.3976933,693.7132265,579.8974262,527.3380323,527.2583626,522.4256249,478.6337185,446.0000414,470.2934233,494.7942622,471.2486257,510.5563385,493.8996239,493.7573299,591.211698,592.6056151,580.6567496,555.4464584,585.9110132,575.5860045,554.530675,623.7597009,606.5697502
Bangladesh,BGD,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,41.79416833,43.89211583,46.90565167,49.0854,52.14166667,55.80666667,57.888,58.15004,59.51265833,64.327475,68.93323333,68.874875,68.598275,69.03906667,69.64929167,74.1524,81.86265833,78.103235,77.64140833,77.94690833,78.46809167,80.43754167,83.46620192,84.4535225,84.87139167,85.08376325,91.74545444,106.3094843
Bulgaria,BGR,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,0.177888667,1.681879167,1.760358333,1.836383333,2.123275,2.184708333,2.076975,1.732701667,1.575108917,1.574133333,1.559266667,1.42905,1.337116667,1.406691667,1.477391667,1.406458333,1.52205,1.473566667,1.474183333,1.7644,1.768041667,1.735458333,1.657041667,1.747041667,1.716333333,1.653775,1.860141667,1.808966667
Bahrain,BHR,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,0.375999968,0.375999965,0.375999963,0.375999979,0.376,0.376,0.376,0.376,0.376,0.376,0.376,0.376,0.376,0.376,0.376,0.376,0.376,0.376,0.376,0.376,0.376,0.376,0.376,0.376,0.376,0.376,0.376,0.376
"Bahamas, The",BHS,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Bosnia and Herzegovina,BIH,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,,1.734055833,1.759667583,1.835795385,2.122859512,2.185659583,2.078170426,1.732932204,1.575157028,1.57272202,1.559071956,1.429002742,1.33519568,1.407891238,1.476739568,1.406936586,1.522209974,1.473051323,1.474169187,1.763491647,1.768139024,1.735352713,1.656985441,1.747086461,1.716970495,1.653606154,1.859325877,1.8092028
Belarus,BLR,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,0.001322988,0.002602055,0.004612762,0.024929533,0.087675,0.139,0.179091667,0.205127083,0.21602575,0.215382,0.214456417,0.214607833,0.21363975,0.279304922,0.297851,0.497463333,0.833689833,0.88800525,1.02241025,1.592598833,1.989562833,1.932341667,2.037608333,2.091783333,2.439575,2.538675,2.6261,3.00735
Belize,BLZ,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
Bermuda,BMU,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
