Date;Group;Series;Value
18/07/2016;Riksbank key interest rates;Policy rate;-0,50
19/07/2016;Riksbank key interest rates;Policy rate;-0,50
20/07/2016;Riksbank key interest rates;Policy rate;-0,50
21/07/2016;Riksbank key interest rates;Policy rate;-0,50
22/07/2016;Riksbank key interest rates;Policy rate;-0,50
25/07/2016;Riksbank key interest rates;Policy rate;-0,50
26/07/2016;Riksbank key interest rates;Policy rate;-0,50
27/07/2016;Riksbank key interest rates;Policy rate;-0,50
28/07/2016;Riksbank key interest rates;Policy rate;-0,50
29/07/2016;Riksbank key interest rates;Policy rate;-0,50
01/08/2016;Riksbank key interest rates;Policy rate;-0,50
02/08/2016;Riksbank key interest rates;Policy rate;-0,50
03/08/2016;Riksbank key interest rates;Policy rate;-0,50
04/08/2016;Riksbank key interest rates;Policy rate;-0,50
05/08/2016;Riksbank key interest rates;Policy rate;-0,50
08/08/2016;Riksbank key interest rates;Policy rate;-0,50
09/08/2016;Riksbank key interest rates;Policy rate;-0,50
10/08/2016;Riksbank key interest rates;Policy rate;-0,50
11/08/2016;Riksbank key interest rates;Policy rate;-0,50
12/08/2016;Riksbank key interest rates;Policy rate;-0,50
15/08/2016;Riksbank key interest rates;Policy rate;-0,50
16/08/2016;Riksbank key interest rates;Policy rate;-0,50
17/08/2016;Riksbank key interest rates;Policy rate;-0,50
18/08/2016;Riksbank key interest rates;Policy rate;-0,50
19/08/2016;Riksbank key interest rates;Policy rate;-0,50
22/08/2016;Riksbank key interest rates;Policy rate;-0,50
23/08/2016;Riksbank key interest rates;Policy rate;-0,50
24/08/2016;Riksbank key interest rates;Policy rate;-0,50
25/08/2016;Riksbank key interest rates;Policy rate;-0,50
26/08/2016;Riksbank key interest rates;Policy rate;-0,50
29/08/2016;Riksbank key interest rates;Policy rate;-0,50
30/08/2016;Riksbank key interest rates;Policy rate;-0,50
31/08/2016;Riksbank key interest rates;Policy rate;-0,50
01/09/2016;Riksbank key interest rates;Policy rate;-0,50
02/09/2016;Riksbank key interest rates;Policy rate;-0,50
05/09/2016;Riksbank key interest rates;Policy rate;-0,50
06/09/2016;Riksbank key interest rates;Policy rate;-0,50
07/09/2016;Riksbank key interest rates;Policy rate;-0,50
08/09/2016;Riksbank key interest rates;Policy rate;-0,50
09/09/2016;Riksbank key interest rates;Policy rate;-0,50
12/09/2016;Riksbank key interest rates;Policy rate;-0,50
13/09/2016;Riksbank key interest rates;Policy rate;-0,50
14/09/2016;Riksbank key interest rates;Policy rate;-0,50
15/09/2016;Riksbank key interest rates;Policy rate;-0,50
16/09/2016;Riksbank key interest rates;Policy rate;-0,50
19/09/2016;Riksbank key interest rates;Policy rate;-0,50
20/09/2016;Riksbank key interest rates;Policy rate;-0,50
21/09/2016;Riksbank key interest rates;Policy rate;-0,50
22/09/2016;Riksbank key interest rates;Policy rate;-0,50
23/09/2016;Riksbank key interest rates;Policy rate;-0,50
26/09/2016;Riksbank key interest rates;Policy rate;-0,50
27/09/2016;Riksbank key interest rates;Policy rate;-0,50
28/09/2016;Riksbank key interest rates;Policy rate;-0,50
29/09/2016;Riksbank key interest rates;Policy rate;-0,50
30/09/2016;Riksbank key interest rates;Policy rate;-0,50
03/10/2016;Riksbank key interest rates;Policy rate;-0,50
04/10/2016;Riksbank key interest rates;Policy rate;-0,50
05/10/2016;Riksbank key interest rates;Policy rate;-0,50
06/10/2016;Riksbank key interest rates;Policy rate;-0,50
07/10/2016;Riksbank key interest rates;Policy rate;-0,50
10/10/2016;Riksbank key interest rates;Policy rate;-0,50
11/10/2016;Riksbank key interest rates;Policy rate;-0,50
12/10/2016;Riksbank key interest rates;Policy rate;-0,50
13/10/2016;Riksbank key interest rates;Policy rate;-0,50
14/10/2016;Riksbank key interest rates;Policy rate;-0,50
17/10/2016;Riksbank key interest rates;Policy rate;-0,50
18/10/2016;Riksbank key interest rates;Policy rate;-0,50
19/10/2016;Riksbank key interest rates;Policy rate;-0,50
20/10/2016;Riksbank key interest rates;Policy rate;-0,50
21/10/2016;Riksbank key interest rates;Policy rate;-0,50
24/10/2016;Riksbank key interest rates;Policy rate;-0,50
25/10/2016;Riksbank key interest rates;Policy rate;-0,50
26/10/2016;Riksbank key interest rates;Policy rate;-0,50
27/10/2016;Riksbank key interest rates;Policy rate;-0,50
28/10/2016;Riksbank key interest rates;Policy rate;-0,50
31/10/2016;Riksbank key interest rates;Policy rate;-0,50
01/11/2016;Riksbank key interest rates;Policy rate;-0,50
02/11/2016;Riksbank key interest rates;Policy rate;-0,50
03/11/2016;Riksbank key interest rates;Policy rate;-0,50
04/11/2016;Riksbank key interest rates;Policy rate;-0,50
07/11/2016;Riksbank key interest rates;Policy rate;-0,50
08/11/2016;Riksbank key interest rates;Policy rate;-0,50
09/11/2016;Riksbank key interest rates;Policy rate;-0,50
10/11/2016;Riksbank key interest rates;Policy rate;-0,50
11/11/2016;Riksbank key interest rates;Policy rate;-0,50
14/11/2016;Riksbank key interest rates;Policy rate;-0,50
15/11/2016;Riksbank key interest rates;Policy rate;-0,50
16/11/2016;Riksbank key interest rates;Policy rate;-0,50
17/11/2016;Riksbank key interest rates;Policy rate;-0,50
18/11/2016;Riksbank key interest rates;Policy rate;-0,50
21/11/2016;Riksbank key interest rates;Policy rate;-0,50
22/11/2016;Riksbank key interest rates;Policy rate;-0,50
23/11/2016;Riksbank key interest rates;Policy rate;-0,50
24/11/2016;Riksbank key interest rates;Policy rate;-0,50
25/11/2016;Riksbank key interest rates;Policy rate;-0,50
28/11/2016;Riksbank key interest rates;Policy rate;-0,50
29/11/2016;Riksbank key interest rates;Policy rate;-0,50
30/11/2016;Riksbank key interest rates;Policy rate;-0,50
01/12/2016;Riksbank key interest rates;Policy rate;-0,50
02/12/2016;Riksbank key interest rates;Policy rate;-0,50
05/12/2016;Riksbank key interest rates;Policy rate;-0,50
06/12/2016;Riksbank key interest rates;Policy rate;-0,50
07/12/2016;Riksbank key interest rates;Policy rate;-0,50
08/12/2016;Riksbank key interest rates;Policy rate;-0,50
09/12/2016;Riksbank key interest rates;Policy rate;-0,50
12/12/2016;Riksbank key interest rates;Policy rate;-0,50
13/12/2016;Riksbank key interest rates;Policy rate;-0,50
14/12/2016;Riksbank key interest rates;Policy rate;-0,50
15/12/2016;Riksbank key interest rates;Policy rate;-0,50
16/12/2016;Riksbank key interest rates;Policy rate;-0,50
19/12/2016;Riksbank key interest rates;Policy rate;-0,50
20/12/2016;Riksbank key interest rates;Policy rate;-0,50
21/12/2016;Riksbank key interest rates;Policy rate;-0,50
22/12/2016;Riksbank key interest rates;Policy rate;-0,50
23/12/2016;Riksbank key interest rates;Policy rate;-0,50
27/12/2016;Riksbank key interest rates;Policy rate;-0,50
28/12/2016;Riksbank key interest rates;Policy rate;-0,50
29/12/2016;Riksbank key interest rates;Policy rate;-0,50
30/12/2016;Riksbank key interest rates;Policy rate;-0,50
02/01/2017;Riksbank key interest rates;Policy rate;-0,50
03/01/2017;Riksbank key interest rates;Policy rate;-0,50
04/01/2017;Riksbank key interest rates;Policy rate;-0,50
05/01/2017;Riksbank key interest rates;Policy rate;-0,50
09/01/2017;Riksbank key interest rates;Policy rate;-0,50
10/01/2017;Riksbank key interest rates;Policy rate;-0,50
11/01/2017;Riksbank key interest rates;Policy rate;-0,50
12/01/2017;Riksbank key interest rates;Policy rate;-0,50
13/01/2017;Riksbank key interest rates;Policy rate;-0,50
16/01/2017;Riksbank key interest rates;Policy rate;-0,50
17/01/2017;Riksbank key interest rates;Policy rate;-0,50
18/01/2017;Riksbank key interest rates;Policy rate;-0,50
19/01/2017;Riksbank key interest rates;Policy rate;-0,50
20/01/2017;Riksbank key interest rates;Policy rate;-0,50
23/01/2017;Riksbank key interest rates;Policy rate;-0,50
24/01/2017;Riksbank key interest rates;Policy rate;-0,50
25/01/2017;Riksbank key interest rates;Policy rate;-0,50
26/01/2017;Riksbank key interest rates;Policy rate;-0,50
27/01/2017;Riksbank key interest rates;Policy rate;-0,50
30/01/2017;Riksbank key interest rates;Policy rate;-0,50
31/01/2017;Riksbank key interest rates;Policy rate;-0,50
01/02/2017;Riksbank key interest rates;Policy rate;-0,50
02/02/2017;Riksbank key interest rates;Policy rate;-0,50
03/02/2017;Riksbank key interest rates;Policy rate;-0,50
06/02/2017;Riksbank key interest rates;Policy rate;-0,50
07/02/2017;Riksbank key interest rates;Policy rate;-0,50
08/02/2017;Riksbank key interest rates;Policy rate;-0,50
09/02/2017;Riksbank key interest rates;Policy rate;-0,50
10/02/2017;Riksbank key interest rates;Policy rate;-0,50
13/02/2017;Riksbank key interest rates;Policy rate;-0,50
14/02/2017;Riksbank key interest rates;Policy rate;-0,50
15/02/2017;Riksbank key interest rates;Policy rate;-0,50
16/02/2017;Riksbank key interest rates;Policy rate;-0,50
17/02/2017;Riksbank key interest rates;Policy rate;-0,50
20/02/2017;Riksbank key interest rates;Policy rate;-0,50
21/02/2017;Riksbank key interest rates;Policy rate;-0,50
22/02/2017;Riksbank key interest rates;Policy rate;-0,50
23/02/2017;Riksbank key interest rates;Policy rate;-0,50
24/02/2017;Riksbank key interest rates;Policy rate;-0,50
27/02/2017;Riksbank key interest rates;Policy rate;-0,50
28/02/2017;Riksbank key interest rates;Policy rate;-0,50
01/03/2017;Riksbank key interest rates;Policy rate;-0,50
02/03/2017;Riksbank key interest rates;Policy rate;-0,50
03/03/2017;Riksbank key interest rates;Policy rate;-0,50
06/03/2017;Riksbank key interest rates;Policy rate;-0,50
07/03/2017;Riksbank key interest rates;Policy rate;-0,50
08/03/2017;Riksbank key interest rates;Policy rate;-0,50
09/03/2017;Riksbank key interest rates;Policy rate;-0,50
10/03/2017;Riksbank key interest rates;Policy rate;-0,50
13/03/2017;Riksbank key interest rates;Policy rate;-0,50
14/03/2017;Riksbank key interest rates;Policy rate;-0,50
15/03/2017;Riksbank key interest rates;Policy rate;-0,50
16/03/2017;Riksbank key interest rates;Policy rate;-0,50
17/03/2017;Riksbank key interest rates;Policy rate;-0,50
20/03/2017;Riksbank key interest rates;Policy rate;-0,50
21/03/2017;Riksbank key interest rates;Policy rate;-0,50
22/03/2017;Riksbank key interest rates;Policy rate;-0,50
23/03/2017;Riksbank key interest rates;Policy rate;-0,50
24/03/2017;Riksbank key interest rates;Policy rate;-0,50
27/03/2017;Riksbank key interest rates;Policy rate;-0,50
28/03/2017;Riksbank key interest rates;Policy rate;-0,50
29/03/2017;Riksbank key interest rates;Policy rate;-0,50
30/03/2017;Riksbank key interest rates;Policy rate;-0,50
31/03/2017;Riksbank key interest rates;Policy rate;-0,50
03/04/2017;Riksbank key interest rates;Policy rate;-0,50
04/04/2017;Riksbank key interest rates;Policy rate;-0,50
05/04/2017;Riksbank key interest rates;Policy rate;-0,50
06/04/2017;Riksbank key interest rates;Policy rate;-0,50
07/04/2017;Riksbank key interest rates;Policy rate;-0,50
10/04/2017;Riksbank key interest rates;Policy rate;-0,50
11/04/2017;Riksbank key interest rates;Policy rate;-0,50
12/04/2017;Riksbank key interest rates;Policy rate;-0,50
13/04/2017;Riksbank key interest rates;Policy rate;-0,50
18/04/2017;Riksbank key interest rates;Policy rate;-0,50
19/04/2017;Riksbank key interest rates;Policy rate;-0,50
20/04/2017;Riksbank key interest rates;Policy rate;-0,50
21/04/2017;Riksbank key interest rates;Policy rate;-0,50
24/04/2017;Riksbank key interest rates;Policy rate;-0,50
25/04/2017;Riksbank key interest rates;Policy rate;-0,50
26/04/2017;Riksbank key interest rates;Policy rate;-0,50
27/04/2017;Riksbank key interest rates;Policy rate;-0,50
28/04/2017;Riksbank key interest rates;Policy rate;-0,50
02/05/2017;Riksbank key interest rates;Policy rate;-0,50
03/05/2017;Riksbank key interest rates;Policy rate;-0,50
04/05/2017;Riksbank key interest rates;Policy rate;-0,50
05/05/2017;Riksbank key interest rates;Policy rate;-0,50
08/05/2017;Riksbank key interest rates;Policy rate;-0,50
09/05/2017;Riksbank key interest rates;Policy rate;-0,50
10/05/2017;Riksbank key interest rates;Policy rate;-0,50
11/05/2017;Riksbank key interest rates;Policy rate;-0,50
12/05/2017;Riksbank key interest rates;Policy rate;-0,50
15/05/2017;Riksbank key interest rates;Policy rate;-0,50
16/05/2017;Riksbank key interest rates;Policy rate;-0,50
17/05/2017;Riksbank key interest rates;Policy rate;-0,50
18/05/2017;Riksbank key interest rates;Policy rate;-0,50
19/05/2017;Riksbank key interest rates;Policy rate;-0,50
22/05/2017;Riksbank key interest rates;Policy rate;-0,50
23/05/2017;Riksbank key interest rates;Policy rate;-0,50
24/05/2017;Riksbank key interest rates;Policy rate;-0,50
26/05/2017;Riksbank key interest rates;Policy rate;-0,50
29/05/2017;Riksbank key interest rates;Policy rate;-0,50
30/05/2017;Riksbank key interest rates;Policy rate;-0,50
31/05/2017;Riksbank key interest rates;Policy rate;-0,50
01/06/2017;Riksbank key interest rates;Policy rate;-0,50
02/06/2017;Riksbank key interest rates;Policy rate;-0,50
05/06/2017;Riksbank key interest rates;Policy rate;-0,50
07/06/2017;Riksbank key interest rates;Policy rate;-0,50
08/06/2017;Riksbank key interest rates;Policy rate;-0,50
09/06/2017;Riksbank key interest rates;Policy rate;-0,50
12/06/2017;Riksbank key interest rates;Policy rate;-0,50
13/06/2017;Riksbank key interest rates;Policy rate;-0,50
14/06/2017;Riksbank key interest rates;Policy rate;-0,50
15/06/2017;Riksbank key interest rates;Policy rate;-0,50
16/06/2017;Riksbank key interest rates;Policy rate;-0,50
19/06/2017;Riksbank key interest rates;Policy rate;-0,50
20/06/2017;Riksbank key interest rates;Policy rate;-0,50
21/06/2017;Riksbank key interest rates;Policy rate;-0,50
22/06/2017;Riksbank key interest rates;Policy rate;-0,50
26/06/2017;Riksbank key interest rates;Policy rate;-0,50
27/06/2017;Riksbank key interest rates;Policy rate;-0,50
28/06/2017;Riksbank key interest rates;Policy rate;-0,50
29/06/2017;Riksbank key interest rates;Policy rate;-0,50
30/06/2017;Riksbank key interest rates;Policy rate;-0,50
03/07/2017;Riksbank key interest rates;Policy rate;-0,50
04/07/2017;Riksbank key interest rates;Policy rate;-0,50
05/07/2017;Riksbank key interest rates;Policy rate;-0,50
06/07/2017;Riksbank key interest rates;Policy rate;-0,50
07/07/2017;Riksbank key interest rates;Policy rate;-0,50
10/07/2017;Riksbank key interest rates;Policy rate;-0,50
11/07/2017;Riksbank key interest rates;Policy rate;-0,50
12/07/2017;Riksbank key interest rates;Policy rate;-0,50
13/07/2017;Riksbank key interest rates;Policy rate;-0,50
14/07/2017;Riksbank key interest rates;Policy rate;-0,50
17/07/2017;Riksbank key interest rates;Policy rate;-0,50
18/07/2017;Riksbank key interest rates;Policy rate;-0,50
19/07/2017;Riksbank key interest rates;Policy rate;-0,50
20/07/2017;Riksbank key interest rates;Policy rate;-0,50
21/07/2017;Riksbank key interest rates;Policy rate;-0,50
24/07/2017;Riksbank key interest rates;Policy rate;-0,50
25/07/2017;Riksbank key interest rates;Policy rate;-0,50
26/07/2017;Riksbank key interest rates;Policy rate;-0,50
27/07/2017;Riksbank key interest rates;Policy rate;-0,50
28/07/2017;Riksbank key interest rates;Policy rate;-0,50
31/07/2017;Riksbank key interest rates;Policy rate;-0,50
01/08/2017;Riksbank key interest rates;Policy rate;-0,50
02/08/2017;Riksbank key interest rates;Policy rate;-0,50
03/08/2017;Riksbank key interest rates;Policy rate;-0,50
04/08/2017;Riksbank key interest rates;Policy rate;-0,50
07/08/2017;Riksbank key interest rates;Policy rate;-0,50
08/08/2017;Riksbank key interest rates;Policy rate;-0,50
09/08/2017;Riksbank key interest rates;Policy rate;-0,50
10/08/2017;Riksbank key interest rates;Policy rate;-0,50
11/08/2017;Riksbank key interest rates;Policy rate;-0,50
14/08/2017;Riksbank key interest rates;Policy rate;-0,50
15/08/2017;Riksbank key interest rates;Policy rate;-0,50
16/08/2017;Riksbank key interest rates;Policy rate;-0,50
17/08/2017;Riksbank key interest rates;Policy rate;-0,50
18/08/2017;Riksbank key interest rates;Policy rate;-0,50
21/08/2017;Riksbank key interest rates;Policy rate;-0,50
22/08/2017;Riksbank key interest rates;Policy rate;-0,50
23/08/2017;Riksbank key interest rates;Policy rate;-0,50
24/08/2017;Riksbank key interest rates;Policy rate;-0,50
25/08/2017;Riksbank key interest rates;Policy rate;-0,50
28/08/2017;Riksbank key interest rates;Policy rate;-0,50
29/08/2017;Riksbank key interest rates;Policy rate;-0,50
30/08/2017;Riksbank key interest rates;Policy rate;-0,50
31/08/2017;Riksbank key interest rates;Policy rate;-0,50
01/09/2017;Riksbank key interest rates;Policy rate;-0,50
04/09/2017;Riksbank key interest rates;Policy rate;-0,50
05/09/2017;Riksbank key interest rates;Policy rate;-0,50
06/09/2017;Riksbank key interest rates;Policy rate;-0,50
07/09/2017;Riksbank key interest rates;Policy rate;-0,50
08/09/2017;Riksbank key interest rates;Policy rate;-0,50
11/09/2017;Riksbank key interest rates;Policy rate;-0,50
12/09/2017;Riksbank key interest rates;Policy rate;-0,50
13/09/2017;Riksbank key interest rates;Policy rate;-0,50
14/09/2017;Riksbank key interest rates;Policy rate;-0,50
15/09/2017;Riksbank key interest rates;Policy rate;-0,50
18/09/2017;Riksbank key interest rates;Policy rate;-0,50
19/09/2017;Riksbank key interest rates;Policy rate;-0,50
20/09/2017;Riksbank key interest rates;Policy rate;-0,50
21/09/2017;Riksbank key interest rates;Policy rate;-0,50
22/09/2017;Riksbank key interest rates;Policy rate;-0,50
25/09/2017;Riksbank key interest rates;Policy rate;-0,50
26/09/2017;Riksbank key interest rates;Policy rate;-0,50
27/09/2017;Riksbank key interest rates;Policy rate;-0,50
28/09/2017;Riksbank key interest rates;Policy rate;-0,50
29/09/2017;Riksbank key interest rates;Policy rate;-0,50
02/10/2017;Riksbank key interest rates;Policy rate;-0,50
03/10/2017;Riksbank key interest rates;Policy rate;-0,50
04/10/2017;Riksbank key interest rates;Policy rate;-0,50
05/10/2017;Riksbank key interest rates;Policy rate;-0,50
06/10/2017;Riksbank key interest rates;Policy rate;-0,50
09/10/2017;Riksbank key interest rates;Policy rate;-0,50
10/10/2017;Riksbank key interest rates;Policy rate;-0,50
11/10/2017;Riksbank key interest rates;Policy rate;-0,50
12/10/2017;Riksbank key interest rates;Policy rate;-0,50
13/10/2017;Riksbank key interest rates;Policy rate;-0,50
16/10/2017;Riksbank key interest rates;Policy rate;-0,50
17/10/2017;Riksbank key interest rates;Policy rate;-0,50
18/10/2017;Riksbank key interest rates;Policy rate;-0,50
19/10/2017;Riksbank key interest rates;Policy rate;-0,50
20/10/2017;Riksbank key interest rates;Policy rate;-0,50
23/10/2017;Riksbank key interest rates;Policy rate;-0,50
24/10/2017;Riksbank key interest rates;Policy rate;-0,50
25/10/2017;Riksbank key interest rates;Policy rate;-0,50
26/10/2017;Riksbank key interest rates;Policy rate;-0,50
27/10/2017;Riksbank key interest rates;Policy rate;-0,50
30/10/2017;Riksbank key interest rates;Policy rate;-0,50
31/10/2017;Riksbank key interest rates;Policy rate;-0,50
01/11/2017;Riksbank key interest rates;Policy rate;-0,50
02/11/2017;Riksbank key interest rates;Policy rate;-0,50
03/11/2017;Riksbank key interest rates;Policy rate;-0,50
06/11/2017;Riksbank key interest rates;Policy rate;-0,50
07/11/2017;Riksbank key interest rates;Policy rate;-0,50
08/11/2017;Riksbank key interest rates;Policy rate;-0,50
09/11/2017;Riksbank key interest rates;Policy rate;-0,50
10/11/2017;Riksbank key interest rates;Policy rate;-0,50
13/11/2017;Riksbank key interest rates;Policy rate;-0,50
14/11/2017;Riksbank key interest rates;Policy rate;-0,50
15/11/2017;Riksbank key interest rates;Policy rate;-0,50
16/11/2017;Riksbank key interest rates;Policy rate;-0,50
17/11/2017;Riksbank key interest rates;Policy rate;-0,50
20/11/2017;Riksbank key interest rates;Policy rate;-0,50
21/11/2017;Riksbank key interest rates;Policy rate;-0,50
22/11/2017;Riksbank key interest rates;Policy rate;-0,50
23/11/2017;Riksbank key interest rates;Policy rate;-0,50
24/11/2017;Riksbank key interest rates;Policy rate;-0,50
27/11/2017;Riksbank key interest rates;Policy rate;-0,50
28/11/2017;Riksbank key interest rates;Policy rate;-0,50
29/11/2017;Riksbank key interest rates;Policy rate;-0,50
30/11/2017;Riksbank key interest rates;Policy rate;-0,50
01/12/2017;Riksbank key interest rates;Policy rate;-0,50
04/12/2017;Riksbank key interest rates;Policy rate;-0,50
05/12/2017;Riksbank key interest rates;Policy rate;-0,50
06/12/2017;Riksbank key interest rates;Policy rate;-0,50
07/12/2017;Riksbank key interest rates;Policy rate;-0,50
08/12/2017;Riksbank key interest rates;Policy rate;-0,50
11/12/2017;Riksbank key interest rates;Policy rate;-0,50
12/12/2017;Riksbank key interest rates;Policy rate;-0,50
13/12/2017;Riksbank key interest rates;Policy rate;-0,50
14/12/2017;Riksbank key interest rates;Policy rate;-0,50
15/12/2017;Riksbank key interest rates;Policy rate;-0,50
18/12/2017;Riksbank key interest rates;Policy rate;-0,50
19/12/2017;Riksbank key interest rates;Policy rate;-0,50
20/12/2017;Riksbank key interest rates;Policy rate;-0,50
21/12/2017;Riksbank key interest rates;Policy rate;-0,50
22/12/2017;Riksbank key interest rates;Policy rate;-0,50
27/12/2017;Riksbank key interest rates;Policy rate;-0,50
28/12/2017;Riksbank key interest rates;Policy rate;-0,50
29/12/2017;Riksbank key interest rates;Policy rate;-0,50
02/01/2018;Riksbank key interest rates;Policy rate;-0,50
03/01/2018;Riksbank key interest rates;Policy rate;-0,50
04/01/2018;Riksbank key interest rates;Policy rate;-0,50
05/01/2018;Riksbank key interest rates;Policy rate;-0,50
08/01/2018;Riksbank key interest rates;Policy rate;-0,50
09/01/2018;Riksbank key interest rates;Policy rate;-0,50
10/01/2018;Riksbank key interest rates;Policy rate;-0,50
11/01/2018;Riksbank key interest rates;Policy rate;-0,50
12/01/2018;Riksbank key interest rates;Policy rate;-0,50
15/01/2018;Riksbank key interest rates;Policy rate;-0,50
16/01/2018;Riksbank key interest rates;Policy rate;-0,50
17/01/2018;Riksbank key interest rates;Policy rate;-0,50
18/01/2018;Riksbank key interest rates;Policy rate;-0,50
19/01/2018;Riksbank key interest rates;Policy rate;-0,50
22/01/2018;Riksbank key interest rates;Policy rate;-0,50
23/01/2018;Riksbank key interest rates;Policy rate;-0,50
24/01/2018;Riksbank key interest rates;Policy rate;-0,50
25/01/2018;Riksbank key interest rates;Policy rate;-0,50
26/01/2018;Riksbank key interest rates;Policy rate;-0,50
29/01/2018;Riksbank key interest rates;Policy rate;-0,50
30/01/2018;Riksbank key interest rates;Policy rate;-0,50
31/01/2018;Riksbank key interest rates;Policy rate;-0,50
01/02/2018;Riksbank key interest rates;Policy rate;-0,50
02/02/2018;Riksbank key interest rates;Policy rate;-0,50
05/02/2018;Riksbank key interest rates;Policy rate;-0,50
06/02/2018;Riksbank key interest rates;Policy rate;-0,50
07/02/2018;Riksbank key interest rates;Policy rate;-0,50
08/02/2018;Riksbank key interest rates;Policy rate;-0,50
09/02/2018;Riksbank key interest rates;Policy rate;-0,50
12/02/2018;Riksbank key interest rates;Policy rate;-0,50
13/02/2018;Riksbank key interest rates;Policy rate;-0,50
14/02/2018;Riksbank key interest rates;Policy rate;-0,50
15/02/2018;Riksbank key interest rates;Policy rate;-0,50
16/02/2018;Riksbank key interest rates;Policy rate;-0,50
19/02/2018;Riksbank key interest rates;Policy rate;-0,50
20/02/2018;Riksbank key interest rates;Policy rate;-0,50
21/02/2018;Riksbank key interest rates;Policy rate;-0,50
22/02/2018;Riksbank key interest rates;Policy rate;-0,50
23/02/2018;Riksbank key interest rates;Policy rate;-0,50
26/02/2018;Riksbank key interest rates;Policy rate;-0,50
27/02/2018;Riksbank key interest rates;Policy rate;-0,50
28/02/2018;Riksbank key interest rates;Policy rate;-0,50
01/03/2018;Riksbank key interest rates;Policy rate;-0,50
02/03/2018;Riksbank key interest rates;Policy rate;-0,50
05/03/2018;Riksbank key interest rates;Policy rate;-0,50
06/03/2018;Riksbank key interest rates;Policy rate;-0,50
07/03/2018;Riksbank key interest rates;Policy rate;-0,50
08/03/2018;Riksbank key interest rates;Policy rate;-0,50
09/03/2018;Riksbank key interest rates;Policy rate;-0,50
12/03/2018;Riksbank key interest rates;Policy rate;-0,50
13/03/2018;Riksbank key interest rates;Policy rate;-0,50
14/03/2018;Riksbank key interest rates;Policy rate;-0,50
15/03/2018;Riksbank key interest rates;Policy rate;-0,50
16/03/2018;Riksbank key interest rates;Policy rate;-0,50
19/03/2018;Riksbank key interest rates;Policy rate;-0,50
20/03/2018;Riksbank key interest rates;Policy rate;-0,50
21/03/2018;Riksbank key interest rates;Policy rate;-0,50
22/03/2018;Riksbank key interest rates;Policy rate;-0,50
23/03/2018;Riksbank key interest rates;Policy rate;-0,50
26/03/2018;Riksbank key interest rates;Policy rate;-0,50
27/03/2018;Riksbank key interest rates;Policy rate;-0,50
28/03/2018;Riksbank key interest rates;Policy rate;-0,50
29/03/2018;Riksbank key interest rates;Policy rate;-0,50
03/04/2018;Riksbank key interest rates;Policy rate;-0,50
04/04/2018;Riksbank key interest rates;Policy rate;-0,50
05/04/2018;Riksbank key interest rates;Policy rate;-0,50
06/04/2018;Riksbank key interest rates;Policy rate;-0,50
09/04/2018;Riksbank key interest rates;Policy rate;-0,50
10/04/2018;Riksbank key interest rates;Policy rate;-0,50
11/04/2018;Riksbank key interest rates;Policy rate;-0,50
12/04/2018;Riksbank key interest rates;Policy rate;-0,50
13/04/2018;Riksbank key interest rates;Policy rate;-0,50
16/04/2018;Riksbank key interest rates;Policy rate;-0,50
17/04/2018;Riksbank key interest rates;Policy rate;-0,50
18/04/2018;Riksbank key interest rates;Policy rate;-0,50
19/04/2018;Riksbank key interest rates;Policy rate;-0,50
20/04/2018;Riksbank key interest rates;Policy rate;-0,50
23/04/2018;Riksbank key interest rates;Policy rate;-0,50
24/04/2018;Riksbank key interest rates;Policy rate;-0,50
25/04/2018;Riksbank key interest rates;Policy rate;-0,50
26/04/2018;Riksbank key interest rates;Policy rate;-0,50
27/04/2018;Riksbank key interest rates;Policy rate;-0,50
30/04/2018;Riksbank key interest rates;Policy rate;-0,50
02/05/2018;Riksbank key interest rates;Policy rate;-0,50
03/05/2018;Riksbank key interest rates;Policy rate;-0,50
04/05/2018;Riksbank key interest rates;Policy rate;-0,50
07/05/2018;Riksbank key interest rates;Policy rate;-0,50
08/05/2018;Riksbank key interest rates;Policy rate;-0,50
09/05/2018;Riksbank key interest rates;Policy rate;-0,50
11/05/2018;Riksbank key interest rates;Policy rate;-0,50
14/05/2018;Riksbank key interest rates;Policy rate;-0,50
15/05/2018;Riksbank key interest rates;Policy rate;-0,50
16/05/2018;Riksbank key interest rates;Policy rate;-0,50
17/05/2018;Riksbank key interest rates;Policy rate;-0,50
18/05/2018;Riksbank key interest rates;Policy rate;-0,50
21/05/2018;Riksbank key interest rates;Policy rate;-0,50
22/05/2018;Riksbank key interest rates;Policy rate;-0,50
23/05/2018;Riksbank key interest rates;Policy rate;-0,50
24/05/2018;Riksbank key interest rates;Policy rate;-0,50
25/05/2018;Riksbank key interest rates;Policy rate;-0,50
28/05/2018;Riksbank key interest rates;Policy rate;-0,50
29/05/2018;Riksbank key interest rates;Policy rate;-0,50
30/05/2018;Riksbank key interest rates;Policy rate;-0,50
31/05/2018;Riksbank key interest rates;Policy rate;-0,50
01/06/2018;Riksbank key interest rates;Policy rate;-0,50
04/06/2018;Riksbank key interest rates;Policy rate;-0,50
05/06/2018;Riksbank key interest rates;Policy rate;-0,50
07/06/2018;Riksbank key interest rates;Policy rate;-0,50
08/06/2018;Riksbank key interest rates;Policy rate;-0,50
11/06/2018;Riksbank key interest rates;Policy rate;-0,50
12/06/2018;Riksbank key interest rates;Policy rate;-0,50
13/06/2018;Riksbank key interest rates;Policy rate;-0,50
