Date;Group;Series;Value
22/01/2015;Riksbank key interest rates;Policy rate;0,00
23/01/2015;Riksbank key interest rates;Policy rate;0,00
26/01/2015;Riksbank key interest rates;Policy rate;0,00
27/01/2015;Riksbank key interest rates;Policy rate;0,00
28/01/2015;Riksbank key interest rates;Policy rate;0,00
29/01/2015;Riksbank key interest rates;Policy rate;0,00
30/01/2015;Riksbank key interest rates;Policy rate;0,00
02/02/2015;Riksbank key interest rates;Policy rate;0,00
03/02/2015;Riksbank key interest rates;Policy rate;0,00
04/02/2015;Riksbank key interest rates;Policy rate;0,00
05/02/2015;Riksbank key interest rates;Policy rate;0,00
06/02/2015;Riksbank key interest rates;Policy rate;0,00
09/02/2015;Riksbank key interest rates;Policy rate;0,00
10/02/2015;Riksbank key interest rates;Policy rate;0,00
11/02/2015;Riksbank key interest rates;Policy rate;0,00
12/02/2015;Riksbank key interest rates;Policy rate;0,00
13/02/2015;Riksbank key interest rates;Policy rate;0,00
16/02/2015;Riksbank key interest rates;Policy rate;0,00
17/02/2015;Riksbank key interest rates;Policy rate;0,00
18/02/2015;Riksbank key interest rates;Policy rate;-0,10
19/02/2015;Riksbank key interest rates;Policy rate;-0,10
20/02/2015;Riksbank key interest rates;Policy rate;-0,10
23/02/2015;Riksbank key interest rates;Policy rate;-0,10
24/02/2015;Riksbank key interest rates;Policy rate;-0,10
25/02/2015;Riksbank key interest rates;Policy rate;-0,10
26/02/2015;Riksbank key interest rates;Policy rate;-0,10
27/02/2015;Riksbank key interest rates;Policy rate;-0,10
02/03/2015;Riksbank key interest rates;Policy rate;-0,10
03/03/2015;Riksbank key interest rates;Policy rate;-0,10
04/03/2015;Riksbank key interest rates;Policy rate;-0,10
05/03/2015;Riksbank key interest rates;Policy rate;-0,10
06/03/2015;Riksbank key interest rates;Policy rate;-0,10
09/03/2015;Riksbank key interest rates;Policy rate;-0,10
10/03/2015;Riksbank key interest rates;Policy rate;-0,10
11/03/2015;Riksbank key interest rates;Policy rate;-0,10
12/03/2015;Riksbank key interest rates;Policy rate;-0,10
13/03/2015;Riksbank key interest rates;Policy rate;-0,10
16/03/2015;Riksbank key interest rates;Policy rate;-0,10
17/03/2015;Riksbank key interest rates;Policy rate;-0,10
18/03/2015;Riksbank key interest rates;Policy rate;-0,10
19/03/2015;Riksbank key interest rates;Policy rate;-0,10
20/03/2015;Riksbank key interest rates;Policy rate;-0,10
23/03/2015;Riksbank key interest rates;Policy rate;-0,10
24/03/2015;Riksbank key interest rates;Policy rate;-0,10
25/03/2015;Riksbank key interest rates;Policy rate;-0,25
26/03/2015;Riksbank key interest rates;Policy rate;-0,25
27/03/2015;Riksbank key interest rates;Policy rate;-0,25
30/03/2015;Riksbank key interest rates;Policy rate;-0,25
31/03/2015;Riksbank key interest rates;Policy rate;-0,25
01/04/2015;Riksbank key interest rates;Policy rate;-0,25
02/04/2015;Riksbank key interest rates;Policy rate;-0,25
07/04/2015;Riksbank key interest rates;Policy rate;-0,25
08/04/2015;Riksbank key interest rates;Policy rate;-0,25
09/04/2015;Riksbank key interest rates;Policy rate;-0,25
10/04/2015;Riksbank key interest rates;Policy rate;-0,25
13/04/2015;Riksbank key interest rates;Policy rate;-0,25
14/04/2015;Riksbank key interest rates;Policy rate;-0,25
15/04/2015;Riksbank key interest rates;Policy rate;-0,25
16/04/2015;Riksbank key interest rates;Policy rate;-0,25
17/04/2015;Riksbank key interest rates;Policy rate;-0,25
20/04/2015;Riksbank key interest rates;Policy rate;-0,25
21/04/2015;Riksbank key interest rates;Policy rate;-0,25
22/04/2015;Riksbank key interest rates;Policy rate;-0,25
23/04/2015;Riksbank key interest rates;Policy rate;-0,25
24/04/2015;Riksbank key interest rates;Policy rate;-0,25
27/04/2015;Riksbank key interest rates;Policy rate;-0,25
28/04/2015;Riksbank key interest rates;Policy rate;-0,25
29/04/2015;Riksbank key interest rates;Policy rate;-0,25
30/04/2015;Riksbank key interest rates;Policy rate;-0,25
04/05/2015;Riksbank key interest rates;Policy rate;-0,25
05/05/2015;Riksbank key interest rates;Policy rate;-0,25
06/05/2015;Riksbank key interest rates;Policy rate;-0,25
07/05/2015;Riksbank key interest rates;Policy rate;-0,25
08/05/2015;Riksbank key interest rates;Policy rate;-0,25
11/05/2015;Riksbank key interest rates;Policy rate;-0,25
12/05/2015;Riksbank key interest rates;Policy rate;-0,25
13/05/2015;Riksbank key interest rates;Policy rate;-0,25
15/05/2015;Riksbank key interest rates;Policy rate;-0,25
18/05/2015;Riksbank key interest rates;Policy rate;-0,25
19/05/2015;Riksbank key interest rates;Policy rate;-0,25
20/05/2015;Riksbank key interest rates;Policy rate;-0,25
21/05/2015;Riksbank key interest rates;Policy rate;-0,25
22/05/2015;Riksbank key interest rates;Policy rate;-0,25
25/05/2015;Riksbank key interest rates;Policy rate;-0,25
26/05/2015;Riksbank key interest rates;Policy rate;-0,25
27/05/2015;Riksbank key interest rates;Policy rate;-0,25
28/05/2015;Riksbank key interest rates;Policy rate;-0,25
29/05/2015;Riksbank key interest rates;Policy rate;-0,25
01/06/2015;Riksbank key interest rates;Policy rate;-0,25
02/06/2015;Riksbank key interest rates;Policy rate;-0,25
03/06/2015;Riksbank key interest rates;Policy rate;-0,25
04/06/2015;Riksbank key interest rates;Policy rate;-0,25
05/06/2015;Riksbank key interest rates;Policy rate;-0,25
08/06/2015;Riksbank key interest rates;Policy rate;-0,25
09/06/2015;Riksbank key interest rates;Policy rate;-0,25
10/06/2015;Riksbank key interest rates;Policy rate;-0,25
11/06/2015;Riksbank key interest rates;Policy rate;-0,25
12/06/2015;Riksbank key interest rates;Policy rate;-0,25
15/06/2015;Riksbank key interest rates;Policy rate;-0,25
16/06/2015;Riksbank key interest rates;Policy rate;-0,25
17/06/2015;Riksbank key interest rates;Policy rate;-0,25
18/06/2015;Riksbank key interest rates;Policy rate;-0,25
22/06/2015;Riksbank key interest rates;Policy rate;-0,25
23/06/2015;Riksbank key interest rates;Policy rate;-0,25
24/06/2015;Riksbank key interest rates;Policy rate;-0,25
25/06/2015;Riksbank key interest rates;Policy rate;-0,25
26/06/2015;Riksbank key interest rates;Policy rate;-0,25
29/06/2015;Riksbank key interest rates;Policy rate;-0,25
30/06/2015;Riksbank key interest rates;Policy rate;-0,25
01/07/2015;Riksbank key interest rates;Policy rate;-0,25
02/07/2015;Riksbank key interest rates;Policy rate;-0,25
03/07/2015;Riksbank key interest rates;Policy rate;-0,25
06/07/2015;Riksbank key interest rates;Policy rate;-0,25
07/07/2015;Riksbank key interest rates;Policy rate;-0,25
08/07/2015;Riksbank key interest rates;Policy rate;-0,35
09/07/2015;Riksbank key interest rates;Policy rate;-0,35
10/07/2015;Riksbank key interest rates;Policy rate;-0,35
13/07/2015;Riksbank key interest rates;Policy rate;-0,35
14/07/2015;Riksbank key interest rates;Policy rate;-0,35
15/07/2015;Riksbank key interest rates;Policy rate;-0,35
16/07/2015;Riksbank key interest rates;Policy rate;-0,35
17/07/2015;Riksbank key interest rates;Policy rate;-0,35
20/07/2015;Riksbank key interest rates;Policy rate;-0,35
21/07/2015;Riksbank key interest rates;Policy rate;-0,35
22/07/2015;Riksbank key interest rates;Policy rate;-0,35
23/07/2015;Riksbank key interest rates;Policy rate;-0,35
24/07/2015;Riksbank key interest rates;Policy rate;-0,35
27/07/2015;Riksbank key interest rates;Policy rate;-0,35
28/07/2015;Riksbank key interest rates;Policy rate;-0,35
29/07/2015;Riksbank key interest rates;Policy rate;-0,35
30/07/2015;Riksbank key interest rates;Policy rate;-0,35
31/07/2015;Riksbank key interest rates;Policy rate;-0,35
03/08/2015;Riksbank key interest rates;Policy rate;-0,35
04/08/2015;Riksbank key interest rates;Policy rate;-0,35
05/08/2015;Riksbank key interest rates;Policy rate;-0,35
06/08/2015;Riksbank key interest rates;Policy rate;-0,35
07/08/2015;Riksbank key interest rates;Policy rate;-0,35
10/08/2015;Riksbank key interest rates;Policy rate;-0,35
11/08/2015;Riksbank key interest rates;Policy rate;-0,35
12/08/2015;Riksbank key interest rates;Policy rate;-0,35
13/08/2015;Riksbank key interest rates;Policy rate;-0,35
14/08/2015;Riksbank key interest rates;Policy rate;-0,35
17/08/2015;Riksbank key interest rates;Policy rate;-0,35
18/08/2015;Riksbank key interest rates;Policy rate;-0,35
19/08/2015;Riksbank key interest rates;Policy rate;-0,35
20/08/2015;Riksbank key interest rates;Policy rate;-0,35
21/08/2015;Riksbank key interest rates;Policy rate;-0,35
24/08/2015;Riksbank key interest rates;Policy rate;-0,35
25/08/2015;Riksbank key interest rates;Policy rate;-0,35
26/08/2015;Riksbank key interest rates;Policy rate;-0,35
27/08/2015;Riksbank key interest rates;Policy rate;-0,35
28/08/2015;Riksbank key interest rates;Policy rate;-0,35
31/08/2015;Riksbank key interest rates;Policy rate;-0,35
01/09/2015;Riksbank key interest rates;Policy rate;-0,35
02/09/2015;Riksbank key interest rates;Policy rate;-0,35
03/09/2015;Riksbank key interest rates;Policy rate;-0,35
04/09/2015;Riksbank key interest rates;Policy rate;-0,35
07/09/2015;Riksbank key interest rates;Policy rate;-0,35
08/09/2015;Riksbank key interest rates;Policy rate;-0,35
09/09/2015;Riksbank key interest rates;Policy rate;-0,35
10/09/2015;Riksbank key interest rates;Policy rate;-0,35
11/09/2015;Riksbank key interest rates;Policy rate;-0,35
14/09/2015;Riksbank key interest rates;Policy rate;-0,35
15/09/2015;Riksbank key interest rates;Policy rate;-0,35
16/09/2015;Riksbank key interest rates;Policy rate;-0,35
17/09/2015;Riksbank key interest rates;Policy rate;-0,35
18/09/2015;Riksbank key interest rates;Policy rate;-0,35
21/09/2015;Riksbank key interest rates;Policy rate;-0,35
22/09/2015;Riksbank key interest rates;Policy rate;-0,35
23/09/2015;Riksbank key interest rates;Policy rate;-0,35
24/09/2015;Riksbank key interest rates;Policy rate;-0,35
25/09/2015;Riksbank key interest rates;Policy rate;-0,35
28/09/2015;Riksbank key interest rates;Policy rate;-0,35
29/09/2015;Riksbank key interest rates;Policy rate;-0,35
30/09/2015;Riksbank key interest rates;Policy rate;-0,35
01/10/2015;Riksbank key interest rates;Policy rate;-0,35
02/10/2015;Riksbank key interest rates;Policy rate;-0,35
05/10/2015;Riksbank key interest rates;Policy rate;-0,35
06/10/2015;Riksbank key interest rates;Policy rate;-0,35
07/10/2015;Riksbank key interest rates;Policy rate;-0,35
08/10/2015;Riksbank key interest rates;Policy rate;-0,35
09/10/2015;Riksbank key interest rates;Policy rate;-0,35
12/10/2015;Riksbank key interest rates;Policy rate;-0,35
13/10/2015;Riksbank key interest rates;Policy rate;-0,35
14/10/2015;Riksbank key interest rates;Policy rate;-0,35
15/10/2015;Riksbank key interest rates;Policy rate;-0,35
16/10/2015;Riksbank key interest rates;Policy rate;-0,35
19/10/2015;Riksbank key interest rates;Policy rate;-0,35
20/10/2015;Riksbank key interest rates;Policy rate;-0,35
21/10/2015;Riksbank key interest rates;Policy rate;-0,35
22/10/2015;Riksbank key interest rates;Policy rate;-0,35
23/10/2015;Riksbank key interest rates;Policy rate;-0,35
26/10/2015;Riksbank key interest rates;Policy rate;-0,35
27/10/2015;Riksbank key interest rates;Policy rate;-0,35
28/10/2015;Riksbank key interest rates;Policy rate;-0,35
29/10/2015;Riksbank key interest rates;Policy rate;-0,35
30/10/2015;Riksbank key interest rates;Policy rate;-0,35
02/11/2015;Riksbank key interest rates;Policy rate;-0,35
03/11/2015;Riksbank key interest rates;Policy rate;-0,35
04/11/2015;Riksbank key interest rates;Policy rate;-0,35
05/11/2015;Riksbank key interest rates;Policy rate;-0,35
06/11/2015;Riksbank key interest rates;Policy rate;-0,35
09/11/2015;Riksbank key interest rates;Policy rate;-0,35
10/11/2015;Riksbank key interest rates;Policy rate;-0,35
11/11/2015;Riksbank key interest rates;Policy rate;-0,35
12/11/2015;Riksbank key interest rates;Policy rate;-0,35
13/11/2015;Riksbank key interest rates;Policy rate;-0,35
16/11/2015;Riksbank key interest rates;Policy rate;-0,35
17/11/2015;Riksbank key interest rates;Policy rate;-0,35
18/11/2015;Riksbank key interest rates;Policy rate;-0,35
19/11/2015;Riksbank key interest rates;Policy rate;-0,35
20/11/2015;Riksbank key interest rates;Policy rate;-0,35
23/11/2015;Riksbank key interest rates;Policy rate;-0,35
24/11/2015;Riksbank key interest rates;Policy rate;-0,35
25/11/2015;Riksbank key interest rates;Policy rate;-0,35
26/11/2015;Riksbank key interest rates;Policy rate;-0,35
27/11/2015;Riksbank key interest rates;Policy rate;-0,35
30/11/2015;Riksbank key interest rates;Policy rate;-0,35
01/12/2015;Riksbank key interest rates;Policy rate;-0,35
02/12/2015;Riksbank key interest rates;Policy rate;-0,35
03/12/2015;Riksbank key interest rates;Policy rate;-0,35
04/12/2015;Riksbank key interest rates;Policy rate;-0,35
07/12/2015;Riksbank key interest rates;Policy rate;-0,35
08/12/2015;Riksbank key interest rates;Policy rate;-0,35
09/12/2015;Riksbank key interest rates;Policy rate;-0,35
10/12/2015;Riksbank key interest rates;Policy rate;-0,35
11/12/2015;Riksbank key interest rates;Policy rate;-0,35
14/12/2015;Riksbank key interest rates;Policy rate;-0,35
15/12/2015;Riksbank key interest rates;Policy rate;-0,35
16/12/2015;Riksbank key interest rates;Policy rate;-0,35
17/12/2015;Riksbank key interest rates;Policy rate;-0,35
18/12/2015;Riksbank key interest rates;Policy rate;-0,35
21/12/2015;Riksbank key interest rates;Policy rate;-0,35
22/12/2015;Riksbank key interest rates;Policy rate;-0,35
23/12/2015;Riksbank key interest rates;Policy rate;-0,35
28/12/2015;Riksbank key interest rates;Policy rate;-0,35
29/12/2015;Riksbank key interest rates;Policy rate;-0,35
30/12/2015;Riksbank key interest rates;Policy rate;-0,35
04/01/2016;Riksbank key interest rates;Policy rate;-0,35
05/01/2016;Riksbank key interest rates;Policy rate;-0,35
07/01/2016;Riksbank key interest rates;Policy rate;-0,35
08/01/2016;Riksbank key interest rates;Policy rate;-0,35
11/01/2016;Riksbank key interest rates;Policy rate;-0,35
12/01/2016;Riksbank key interest rates;Policy rate;-0,35
13/01/2016;Riksbank key interest rates;Policy rate;-0,35
14/01/2016;Riksbank key interest rates;Policy rate;-0,35
15/01/2016;Riksbank key interest rates;Policy rate;-0,35
18/01/2016;Riksbank key interest rates;Policy rate;-0,35
19/01/2016;Riksbank key interest rates;Policy rate;-0,35
