year,avg_rate
1999,12.780000000000001
2000,9.62
2001,6.9375
2002,7.675000000000001
2003,7.525
2004,4.29
2005,3.87
2006,5.11290322575
2007,3.88508064525
2008,3.490255376344088
2009,0.73991935475
2010,1.625
2011,2.941532258
2012,2.2961693548387103
2013,1.30416666675
2014,0.5
2015,0.1
2016,0.1
2017,0.1
2018,0.1375
2019,0.25
2020,0.1375
2021,0.1
2022,1.525
2023,4.625
